source,target,label
But we all know that there is a precondition.,"However, it's clear to everyone that a prerequisite exists.",1
"If we can find an answer to the precondition, we will have resolved a political problem.",Finding a solution to the precondition could help us tackle a political issue.,1
It would naturally be better if Libya's relations with the European Union were to return to normal.,It's preferable for Libya to normalize its relations with the EU.,1
But there is firstly a precondition to resolve.,"But initially, we have to settle a prerequisite.",1
"However, the recommendation is addressed to the Council.","Nevertheless, the suggestion is intended for the Council.",1
"Mr Sakellariou, I have listened very carefully to what you have said.","Mr. Sakellariou, I've paid close attention to your words.",1
"However, the Chair will try to obtain clarification from the Council so that we will have an answer.",The Chair will make an effort to get a clear response from the Council for us.,1
I also wish to comment on a point raised by Commissioner Marín.,I'd like to also make a remark on an issue Commissioner Marín brought up.,1
"It was really very interesting, Commissioner.","Commissioner, that was quite fascinating.",1
"We, at least in my group, are fully behind what you proposed here yesterday.",Our group is entirely in favor of the proposition you put forward yesterday.,1
We will support you in uniting policy and financial stringency.,Our support will be with you in bringing together policy and economic rigor.,1
I have two comments on what Mr Sakellariou proposed.,I'd like to offer a couple of observations on Mr. Sakellariou's proposals.,1
"The conditions you mentioned, Commissioner, will of course still apply.","The conditions you referred to will continue to be in effect, Commissioner.",1
"Mr President, I would like to make a point of order.","Mr. President, I want to raise a procedural issue.",1
"It was very disrespectful of him to leave the sitting, especially given the issue we are now debating.","His exit from the sitting was particularly disrespectful, considering the topic under discussion.",1
"Mrs Izquierdo Rojo, as you will have heard, I noted the presence of the President-in-Office at the time when our rapporteurs were speaking.","Mrs. Izquierdo Rojo, as you might have heard, the President-in-Office was noted to be present while our rapporteurs were speaking.",1
I am very sorry but I do not want to make an issue out of this.,"I'm sorry, however, I'd rather not focus on this matter.",1
"The President-in-Office was here up to and following the speech made by Mr Marín, but perhaps you were unaware of this.","The President-in-Office had been here for the duration of and after [Name0] [Surname1]'s speech, but it's possible you didn't realize that.",1
"It would have been better if he could have stayed longer, and I agree with you on this.","His prolonged presence would have been ideal, and that's a point I share with you.",1
"However, I will make a note of that aspect of your comments.","However, I'll take into account that particular part of your remarks.",1
And yet this is both our most sensitive and most fascinating border.,This border captivates and is also our most delicate.,1
"My first point, therefore, relates to the Mediterranean countries in their entirety.","Therefore, my opening statement concerns all countries around the Mediterranean.",1
By imposing a common denominator on the whole of Europe?,Through the introduction of a uniform standard throughout Europe?,1
That would be the third fundamental mistake.,This might turn out to be the third significant blunder.,1
This is just what the West has sometimes misunderstood when following its colonial and post-colonial inclinations.,The West has occasionally misapprehended this in its colonial and post-colonial tendencies.,1
We must persuade the Palestinians to postpone that declaration.,We need to convince the Palestinians to delay their announcement.,1
Something has to be done here.,Action must be taken in this case.,1
And I think we should commit ourselves to recognising that state if it is declared.,I believe we must acknowledge that state in the event of its proclamation.,1
The problems in Lebanon are big enough.,The challenges in Lebanon are substantial.,1
"This peace process is also extremely important to the Barcelona process, which is likewise deadlocked at present.",The peace process is highly significant for the Barcelona process that is similarly stalled right now.,1
"Aside from the peace process, the Union must invest in democracy and human rights.","In addition to engaging in the peace process, the Union should also invest in promoting democracy and human rights.",1
Good governance is the basis for successful progress.,Efficient management is the foundation for positive advancement.,1
The Union can foster these processes by focusing its attention on civil society.,The Union can encourage these processes by concentrating on civil society.,1
"With luck, all the problems over the legal base for providing funds have been resolved.","Hopefully, the issues regarding the legal foundation for funding have been settled.",1
"For its part, the Chair is put in a difficult position and does not want to cut off speakers.","The Chair, caught in a tough spot, is not inclined to interrupt speakers.",1
At some point this system must stop.,"Sooner or later, this system must be stopped.",1
It would be better if fewer colleagues spoke for a longer time to enable them to express their views.,It's preferable to have a smaller number of colleagues speak for extended periods to fully convey their opinions.,1
It is impossible to give just a minute or a minute and a half. It is not enough.,Allocating only a minute to a minute and a half is not adequate.,1
"Moreover, the date of 4 May hangs over us like a sword of Damocles.","Furthermore, we find the upcoming date of May 4 dangling precariously above us.",1
The rapporteur calls on the Palestinian Authority to desist from a declaration of independence.,The rapporteur urges the Palestinian Authority to refrain from declaring independence.,1
Withdrawal from Lebanon without any agreements with Syria is an invitation to violence.,Exiting Lebanon without making deals with Syria could incite violence.,1
"Restoration of the peace process may help our policy on the Mediterranean, but it is not the only factor.","Our policy on the Mediterranean might improve with the peace process back in place, yet it's not the sole element.",1
It is a shame that the Council representative is no longer here.,The absence of the Council's representative at this point is regrettable.,1
"Mr President, both the Colajanni report and the Sakellariou report take us forward in a very positive direction.","Mr. President, we're moving in a very positive direction with the Colajanni and Sakellariou reports.",1
They were unanimously adopted by our committee and also have the support of our group.,Our committee has adopted them with full agreement and received backing from our group as well.,1
"However, I should like to ask whether, with the way things are developing at the moment, these are the only issues.","Nevertheless, I want to question if these concerns are the only ones in light of recent events.",1
Is it possible to move towards a Mediterranean zone of safety and cooperation without tackling the Kurdish question?,Is it feasible to create a safe and cooperative Mediterranean area without dealing with the Kurdish situation?,1
We cannot afford to ignore the Kurdish question and it must be integrated into issues relating to Mediterranean cooperation.,Incorporating the Kurdish issue is essential when addressing Mediterranean cooperation matters.,1
Do we want to take action at international level?,Should we act on an international scale?,1
Do we want to promote political solutions instead of violence?,Should we advocate for political resolutions over violent actions?,1
"The Lebanon and Syria questions must be solved too, without a doubt, if there is to be peace in the Middle East.","To achieve peace in the Middle East, the Lebanon and Syria situations need to be addressed.",1
The European Union will gain little by not daring to speak its mind.,The EU won't benefit much if it refrains from speaking frankly.,1
The position we take will have a determining influence on the consolidation of peace at the gates of Europe.,Our chosen position will play a pivotal role in establishing peace on Europe's doorstep.,1
Our inconsistencies in this field will benefit neither our interests nor peace in the Mediterranean.,The lack of consistency in our approach won't be good for our interests or Mediterranean peace.,1
"So I must be brief and, after thanking our two rapporteurs, I would like to make five points.","Therefore, I will keep it short, and once I've expressed my gratitude to our two reporters, I aim to highlight five key issues.",1
"Firstly, Europe is currently obsessed with its enlargement towards the East and Agenda 2000.","Currently, Europe's main preoccupation is its expansion eastward and its Agenda 2000.",1
"It should concern itself more with the south, and, as a result, its Mediterranean policy.",The focus should be increased on the south and consequently on its policy regarding the Mediterranean.,1
"This is ultimately a question of survival, for Europe and thus for us.","Ultimately, this is about the survival of Europe, and in turn, our own survival.",1
The families of the victims demand this and are appealing to us in their suffering.,"The families of the victims, in their anguish, are making demands and pleading with us.",1
"Fourthly, everyone agrees that Europe must be more active politically as regards the Middle East.",There's unanimous belief that Europe should increase its political involvement in the Middle East.,1
"Mr President, the Mediterranean policy of the European Union must be our most effective, high-minded and unanimous policy.","Mr. President, the EU's approach to the Mediterranean should be its most efficient, noble, and collective policy.",1
"However, our Mediterranean policy is our most neglected, irresolute and ineffectual policy.","Yet, our approach to the Mediterranean remains the most abandoned and the least effective, showing a lack of resolution.",1
"As pointed out by Mr Sakellariou, the rapporteur, the fruits of this endeavour remain negligible.","ccording to the rapporteur, Mr. Sakellariou, there's been little to show for this effort",1
"Nevertheless, there are certain elements that do not change.","However, some aspects remain the same.",1
"These sums, however, have still not produced the desired effect: the substantial fall in the average earnings of the Palestinians is proof of this.","However, the money hasn't achieved its goal, as shown by the significant decrease in Palestinian average income.",1
Europe must therefore cease being an economic giant and a political dwarf.,Europe needs to end its status as merely an economic power and develop its political stature.,1
It is now more essential than ever to have a true European common security policy.,Never before has a true common security policy for Europe been so crucial.,1
Only then will we be listened to and have a genuine role to play on the international stage.,We will be taken seriously and have a substantial part to play in international affairs only then.,1
"Given its complexity, the situation in the Middle East requires negotiated solutions involving the various parties.",The complex nature of the Middle East demands solutions that are reached through negotiation by all parties involved.,1
We must remember that Lebanon is under Syrian supervision and that the south is occupied by Israeli troops.,We must acknowledge that Lebanon falls under Syrian control and that Israel has occupied the southern part.,1
The peace process must continue and we must avoid at all costs the useless sacrifice of human lives.,"The peace process must go on, and we must steer clear of unnecessary loss of human life.",1
"In my view, we should therefore eliminate the term 'unconditional'.","In my opinion, the label 'unconditional' should be discarded.",1
This does not reflect the reality of the situation.,This isn't an accurate representation of the actual circumstances.,1
It is the Israeli Government which has gone back on its previous commitments.,The Israeli Government has retracted its prior commitments.,1
These explicitly set the date of 4 May 1999 for the declaration of Palestinian sovereignty.,They clearly established 4 May 1999 as the date for declaring Palestinian sovereignty.,1
Another problem remains in connection with the Mediterranean policy: the situation in Western Sahara.,Another issue tied to the Mediterranean policy is the ongoing situation in Western Sahara.,1
"Here, too, the peace plan is deadlocked.","In this case as well, the peace plan has reached an impasse.",1
"Until such time as security can be guaranteed in Israel, peace will be nothing but wishful thinking.","Unless Israel's security is assured, peace will remain an unattainable dream.",1
And yet the EU has to play an increasingly important part in these processes.,The EU has to increase its influence in these processes.,1
"A month later, there is the possible declaration of independence by the Palestinians, and then there are the Israeli elections.","Following a month's time, we could see the Palestinians declaring independence and subsequently Israeli elections taking place.",1
"Exercising that right is another matter, and that is an area where we can help. Indeed, we can also set an example.","It's one thing to have that right, it's another to exercise it, which is where our support comes in. We can lead by example as well.",1
That is what we have done and I think that that is where our strength lies.,"Our strength, I believe, comes from doing just that.",1
The Council is making a mistake by leaving it entirely up to the United States to formulate proposals for a solution to the Middle East problem.,It's a misstep for the Council to rely solely on the United States for Middle East resolution proposals.,1
We are currently undertaking enlargement negotiations with the countries of Central and Eastern Europe.,We're in the process of negotiating the enlargement with nations from Central and Eastern Europe.,1
"Mr President, I would like to begin with a question of terminology that has me rather worried.","Mr. President, I want to commence by addressing a concern about our use of terms that is troubling me.",1
"But I thought that for us, as Europeans, the area in question was the Near East.",I was under the impression that the region we refer to as Europeans is the Near East.,1
That is why I think it is worth making the distinction.,That's the reason I believe drawing a distinction is valuable.,1
The Commission communication is a good one.,The Commission has delivered a quality communication.,1
The EU must play a greater role as a joint leader rather than sitting on the sidelines.,The EU should take on a more prominent leadership role instead of remaining on the periphery.,1
"And in order to do so, the European Union must become an ethical point of reference for what is happening in the Near East.","Consequently, the European Union should serve as an ethical guide for developments in the Near East.",1
"If we do not, we will constantly be defending the aggressor and exonerating it, while asking the victim to remain calm.","Without our intervention, we end up justifying the offender's behavior and clearing them of guilt, while suggesting the injured party should keep their peace.",1
"Clearly, we must do exactly the reverse.","Obviously, we need to do the exact opposite.",1
The European Union has a duty to stand up to this.,The EU is obligated to take a stand in this matter.,1
It is time to ensure that Israel can no longer harm the Palestinian people as it has been doing for more than 50 years.,The moment has come to guarantee that the harm Israel has inflicted on Palestinians for over half a century comes to an end.,1
Europe cannot allow an imperialist and racist Israel on its borders to remain with impunity.,"Europe must not permit Israel, which it views as imperialist and racist, to continue without consequences.",1
"Mr President, here we are, on the eve of the Stuttgart conference, voicing criticism of the Euro-Mediterranean partnership.","Mr President, on the brink of the Stuttgart conference, we express our critiques regarding the Euro-Mediterranean partnership.",1
I would rather refer to the limitations of the instruments in the Barcelona process.,I prefer to speak about the restrictions that come with the Barcelona process tools.,1
"To continue this theme of thoroughness, I would just comment on one of these aspects: civil society.","To further discuss being thorough, my comments will address a particular aspect, which is civil society.",1
Mr Vallvé mentioned it a moment ago.,Mr Vallvé just referred to it.,1
We consider direct interference in the election to be unacceptable.,We believe meddling in the election is not acceptable.,1
Israel is the only democracy in the region and the political strategy of the democratically-elected government should be respected.,"As the region's sole democracy, the policies of Israel's elected government should be honored.",1
"Finally, I would like to comment on a point made by one of the previous speakers, who described the Gaza Strip as a concentration camp.","Lastly, I'd like to address the remark from one of the speakers before me, who likened the Gaza Strip to a concentration camp.",1
This comparison with the Nationalist Socialist death camps is absolutely outrageous.,Equating this to the death camps of the National Socialists is completely unacceptable.,1
Mauritania is also involved in NATO's Mediterranean dialogue.,Mauritania participates in the Mediterranean dialogue initiated by NATO.,1
This suggestion is far from being premature as Mauritania has been participating in the process since it first began.,"The proposal is appropriately timed, as Mauritania has been part of the process from the beginning.",1
"As Commissioner Marín is aware, Mauritania has participated as an observer for ten years.","For ten years, Mauritania has been an observer, something Commissioner Marín is conscious of.",1
I think that that is too long to continue being an observer and that it is now time to provide Mauritania with the opportunity to take part.,"In my view, the period of observation for Mauritania has been overly extended and I believe they should now be invited to contribute.",1
"The Euro-Mediterranean process is global in nature and includes countries such as Sweden, Finland, Portugal and Ireland.","The Euro-Mediterranean initiative is a comprehensive process that encompasses nations including Sweden, Finland, Portugal, and Ireland.",1
"Why, then, should we not include this ancient country from the Arab Maghreb?",Why shouldn't we consider incorporating this old nation from the Arab Maghreb?,1
The Council is not present here as its representative preferred to attend an informal meeting.,The Council isn't here because its delegate chose to go to an informal gathering instead.,1
"This patience will certainly also be required when the deadline of 4 May, agreed in Oslo, expires.","Patience will certainly be essential once the May 4th deadline, established in Oslo, has passed.",1
We cannot then allow one side to create a fait accompli.,We can't let one party establish an irreversible situation.,1
In my view it would not hurt us to be more pro-Israel in our advice.,I believe we could benefit from adopting a stance that is more supportive of Israel in our counsel.,1
It deserves it.,It's worthy of it.,1
"Mr President, it is well known that the EU's Mediterranean policy needs to be strengthened and overhauled.","Mr. President, it's widely recognized that there's a need to reinforce and revamp the EU's policy toward the Mediterranean.",1
"The best guarantee of stability, especially in international politics, is a healthy, sensible realism.","Particularly in international politics, stability is best ensured through a robust and reasonable approach.",1
I would like to concentrate mainly on the European Union's role in the Middle East peace process.,The role of the European Union in seeking peace in the Middle East will be my key area of attention.,1
"Mr President, I just wanted to say that this has been an excellent debate.","Mr. President, I simply wish to express that the discussion has been outstanding.",1
I see that a large majority of the House is in favour of a certain position and its main points are very clear.,"It's evident that most members of the assembly support a specific stance, with its key aspects being quite distinct.",1
Trans-European energy networks,Energy networks spanning across Europe.,1
Colleagues should also note that there has been a slight change in the approach.,"Please note, colleagues, that there has been a minor alteration in the way we're proceeding.",1
Some of the money is now available for the actual construction of these networks.,Some of the funds are presently accessible for starting the actual construction of these networks.,1
They are summarised on pages 8 and 9 of my report.,You can find the summary on report pages 8 and 9.,1
"Most of the proposals overall relate to gas, to gas interconnections and underground storage facilities.","The propositions are mostly focused on gas-related matters, specifically interconnections and subterranean storage facilities.",1
Looking at the Commission proposals I am not aware of any particular problem with any of the projects.,"pon examining the Commission proposals, I can't identify any particular issues with the projects",1
Some of them have been up for discussion for quite some time.,Many of these issues have been on the table for a considerable length of time.,1
Many of them take gas into areas of the Community which are not well supplied with it at the moment.,They bring gas to regions within the Community currently lacking sufficient supplies.,1
Of particular importance are the projects which develop gas supplies from Eastern Europe.,Projects that foster the development of gas supplies from Eastern Europe are especially significant.,1
This is important in relation to our growing demand for fuel from that source.,"Considering our escalating fuel demands from that source, the importance is clear.",1
We have tabled three amendments in committee.,"In the committee, we've put forward three amendments.",1
They have been tabled in order to strengthen the links with offshore islands in the case of Greece and Spain.,They've been proposed to reinforce connections with remote islands for Greece and Spain.,1
"There is, however, an aspect of the overall problem which I would like to mention and which the committee feels is important.","I would, however, like to highlight a particular aspect of the larger issue that the committee believes is significant.",1
But the committee feels that we need to have a better link with the broader areas of policy as far as networks are concerned.,The committee thinks it's crucial to enhance our connection with more extensive policy fields regarding networks.,1
There is concern also that the ownership of electricity stations seems to be more easily bought in some countries than in others.,There is also a concern regarding the relative ease with which one can acquire electricity stations in certain countries.,1
This is the way we ought to be going.,This is the direction we should be taking.,1
We know there are demands from Asia for that.,It is known that Asia has requests for that.,1
The committee welcomes the progress that is being made.,The committee is pleased with the advancements taking place.,1
We look forward to the expansion and integration of these networks with the countries of Eastern Europe.,We are eager to see these networks grow and become united with Eastern European countries.,1
"Mr President, thank you for allowing me to take part in the Energy Committee's debate.","Mr President, I appreciate being permitted to participate in the discussion of the Energy Committee.",1
There are two things to which I would like to draw attention.,I want to highlight a couple of points.,1
The first is that there is an inherent conflict in opening the trans-European energy network to former Soviet states.,"Firstly, there exists a fundamental conflict when it comes to including former Soviet states in the trans-European energy network.",1
These states clearly want to be able to operate in a liberal market and earn money.,These countries aim to participate in a free market environment to make a profit.,1
They want to earn money and they want access to a liberal market on different terms from those we wish to see.,Their intention is to profit financially while gaining entry to a liberal market with terms different from what we advocate.,1
This is a conflict.,There is a dispute here.,1
Should an Ignalina nuclear power station price-dump on the European market?,Should the Ignalina nuclear plant engage in price dumping within the European market?,1
"That is the question my colleagues put to our colleagues in the Lithuanian Parliament, the Seimas.",My colleagues asked our counterparts in Lithuania's Seimas that very question.,1
And the conflict will intensify later today when we discuss Mr Adam's second report.,The debate will escalate later today during the discussion of Mr. Adam's subsequent report.,1
It therefore becomes a debate in which energy is left out of the real negotiations.,"Hence, the debate proceeds without including energy in the actual negotiations.",1
"And yet we must maintain the demands for closure, even if our colleagues in the Lithuanian Parliament cannot accept them.","We still need to insist on the closure requirements, even if they are not accepted by our colleagues in the Lithuanian Parliament.",1
It will not work otherwise.,"Otherwise, it won't be effective.",1
"It creates a conflict in the political situation, in the political negotiations connected with accession.",It provokes a dispute in the politics surrounding the negotiations for entry.,1
"Mr President, I do not think that we can combine these reports.","Mr. President, I don't believe we have the ability to merge these reports.",1
"I agree with all the points made by Mr Adam, which I will not repeat.",I concur with Mr. Adam's points and will refrain from restating them.,1
"The 1996 decision, which was reviewed in 1997, included 74 projects.","In 1996, a decision was made that included 74 projects, and this was looked at once more the next year.",1
The 1999 revision has included a further 17 projects.,An additional 17 projects were incorporated in the 1999 update.,1
Some people say that we do not cooperate enough with the countries of Eastern Europe.,Some argue that there isn't enough partnership with the countries in the East of Europe.,1
We should increase their possibilities of generating electricity.,Their opportunities for producing electric power should be expanded.,1
I would therefore like to thank you for all your efforts and hope that you continue with them. You will have our constant support.,"I want to express my gratitude for your hard work and wish you to keep it up, promising our unwavering backing.",1
I am referring to the project connecting the French and Spanish electricity networks with a high-tension line.,I am talking about the high-voltage line project that will link the power grids of France and Spain.,1
The line is practically finished and all that remains is to select the connection point to cross the Pyrenees.,"The line is nearly complete, with just the decision of where to cross the Pyrenees left to be made.",1
And that is where the problem arises.,It's at this juncture that the trouble begins.,1
"As a result, this trans-European network project has been paralysed for years.","Consequently, this project for a trans-European network has faced years of inactivity.",1
This technology no longer has a future.,This technology has become obsolete.,1
For our own safety we must devote all our efforts to setting new parameters in energy supply.,We must focus all our efforts on establishing new guidelines for energy provision to ensure our safety.,1
Mrs Bloch von Blottnitz recognised this clearly.,Mrs Bloch von Blottnitz clearly understood this.,1
Her amendments are a step in the right direction.,Her changes are moving us towards the right goal.,1
"Mr President, I would first of all like to thank the rapporteur, Mr Adam, for his excellent report.","Mr President, my gratitude goes first to Mr Adam, the rapporteur, for his outstanding report.",1
The Commission accepts all the amendments tabled by the European Parliament.,The European Parliament's amendments received the green light from the Commission.,1
We fully agree that the additions to this list of plans for projects of common interest are wholly appropriate.,We are in complete accord that the recent inclusions in the project list are fitting and proper.,1
We are providing opportunities for the funding of studies and projects to link the islands to each other and also to the Greek mainland.,"We are facilitating the financing of studies and projects aimed at connecting the islands with one another, as well as with mainland Greece.",1
"Ladies and gentlemen, allow me once again to thank Mr Adam for the excellent report he has put before us.",I'd like to take another opportunity to express my gratitude to Mr. Adam for the outstanding report he has presented to us.,1
"Thank you, Commissioner, for that clear and concise contribution.","Thank you, Commissioner, for your lucid and succinct input.",1
Nuclear sector-related activities for third countries,Activities related to the nuclear sector for other countries.,1
This importance is reinforced by the enlargement negotiations.,The significance is emphasized through the expansion talks.,1
These have resulted in a radical change in safety culture.,These have led to a complete transformation in the culture of safety.,1
"The fact that these benefits cannot be readily measured, however, does not make them any less real.",Just because it's difficult to measure these advantages doesn't mean they are not genuine.,1
This includes countries such as the newly independent states as well as those in the first and second wave applicant countries.,This pertains to countries like the newly autonomous states along with the initial and subsequent groups of applicant countries.,1
To the Russians there are no unsafe reactors; there are only first and second generation reactors.,"For the Russians, reactor safety isn't a categorizing factor; they identify reactors as either first or second generation.",1
The pressure to close down is seen as an unwarranted interference in domestic affairs.,The coercion to shut down is perceived as unjustified meddling in internal affairs.,1
It is clear that the use of nuclear energy in these Eastern European countries will continue.,These Eastern European countries are evidently going to keep using nuclear energy.,1
Many of them have established policies which aim for maximum energy independence and security of supply.,A number of them have set policies that focus on achieving complete energy autonomy and a secure supply.,1
Many of them do not wish to be dependent on Russia for supplies of oil and gas.,Many of them prefer not to rely on Russia for their oil and gas supplies.,1
"To add to the complications, some of these countries provide their neighbours with electricity.","Further complicating matters, these countries are also electricity providers to their neighbors.",1
This is true of Lithuania and Bulgaria.,It applies to both Lithuania and Bulgaria.,1
Bulgaria exports to Turkey something like US $600 million of electricity every year - badly needed currency.,"Each year, Bulgaria sells around US $600 million of electricity to Turkey, a crucial source of currency.",1
Not one unsafe or first generation reactor has been closed as a result of current policy.,Current policy has not resulted in the shutdown of any unsafe or outdated reactors.,1
It is clear that the nuclear states of Eastern Europe will continue to pursue the nuclear option.,The commitment of Eastern Europe's nuclear nations to continue with the nuclear approach is apparent.,1
Future activity must involve real cooperation and negotiation with the recipients of aid.,We must truly cooperate and negotiate with those who receive aid in our future efforts.,1
"The European Union cannot take a heavy-handed, dictatorial position.",The EU must not adopt an authoritarian stance.,1
We cannot impose our will upon those countries.,Forcing our desires on those nations is not an option.,1
We cannot tell them what they must do.,We have no right to prescribe their actions.,1
"We have tried this and, I have noted, it does not work.","We've attempted it and from what I've seen, it's not effective.",1
It is my profound belief that we can only advance through cooperation and negotiation.,I am deeply convinced that moving forward relies on our collective effort and dialogue.,1
The ultimate aim of this increased cooperation will be the development of an acquis communautaire for the use of nuclear energy.,The primary goal of enhancing collaboration is to create a common body of nuclear energy law.,1
We urge the Commission to coordinate its own services much more effectively than it has in the past.,We call for the Commission to enhance the coordination between its services beyond previous levels.,1
"Unfortunately, as the report makes clear, change and improvement are not things which can be achieved in the very short term.","As outlined in the report, unfortunately, immediate change and improvement are unattainable.",1
And there are reasons for this.,This has its reasons.,1
Some of them depend very heavily on nuclear energy for their electricity supplies and for export revenue too.,They rely quite a lot on nuclear energy for their electrical power and also earn significant income from exporting it.,1
Mr Adam has also made those points this afternoon.,"This afternoon, Mr. Adam mentioned those same points.",1
A strategy for nuclear energy was devised at that time to serve as a basis for the Commission's activities in this field too.,They came up with a nuclear strategy back then to guide the Commission's work in this area as well.,1
"As you know, that was not the case with all nuclear reactors.","As you are aware, this didn't apply to every nuclear reactor.",1
Some of them simply had to be closed down.,A few had no choice but to be discontinued.,1
A number of things have been achieved under the nuclear safety programmes.,The nuclear safety programmes have resulted in various achievements.,1
Exchange and transfer of know-how has led to progress in fostering a culture of nuclear safety in the region.,"The region has seen progress in promoting a culture of nuclear safety, thanks to the exchange and transfer of expertise.",1
Mr Adam's report makes that point as well.,Mr. Adam has noted this in his report too.,1
That is not new.,That isn't a recent development.,1
We have been working on this with these countries for quite some time now.,This has been a long-term joint effort with these countries.,1
The problems which the programme experienced in the initial phase are now behind us.,The programme's early challenges have been overcome.,1
"A propos of that, I should like to offer the following examples.","In relation to this, I'd like to provide the following examples.",1
The new TACIS regulation should help to change this.,This is expected to be altered by the new TACIS regulation.,1
"Lastly, it is our firm intention to improve the internal management of the aid programmes.","In conclusion, we decidedly plan to better the internal management of the aid programmes.",1
". (IT) Mr President, nuclear safety affects millions of people in the European Union and in the Eastern European countries.","Mr. President, the safety of nuclear facilities has implications for millions in the EU and Eastern Europe.",1
The safety standards of these power plants must be inspected by an independent authority recognised by the IAEA and the EU.,The safety standards of these power plants must undergo scrutiny by an independent authority with the IAEA and EU’s endorsement.,1
I repeat that nuclear safety is a crucial element of the pre-accession strategy.,I want to reemphasize the importance of nuclear safety within the strategy for accession.,1
"Unless guarantees are provided, accession could represent a risk to our collective safety.",Accession could jeopardize our collective security if it is not accompanied by guarantees.,1
"Mr President, ladies and gentlemen, Commissioner, my compliments to Mr Adam on his report.","My regards to Mr Adam for his work on the report, addressed to the Commissioner, Mr President, and everyone here.",1
"It is in a way his swan song, I would say.","In a sense, this represents his farewell masterpiece, in my opinion.",1
But in fact not one reactor in Eastern Europe has been closed down since 1992.,"However, since 1992, no nuclear reactors have been shut down in Eastern Europe.",1
But that does not mean that the Union has to stand quietly by and see our resolutions ignored.,"However, this doesn't imply that the Union should remain silent and watch our resolutions being disregarded.",1
The safety of existing facilities should also be used as an essential criterion for accession to the Union.,Existing facilities' safety must be a key standard for joining the Union.,1
The Commissioner has outlined these for us in detail.,The Commissioner has given us a comprehensive outline of these subjects.,1
The members of the REX Committee were shocked by the report's conclusions.,The conclusions of the report stunned the REX Committee members.,1
We have said as much previously.,We have previously stated the same.,1
"But precisely because of that, the Commission should have shown greater care in implementing these programmes.","Given the circumstances, the Commission needed to exercise more caution during the implementation of these programmes.",1
Greater use should be made of the specialist know-how available on the spot in Eastern Europe.,The specialized expertise that is available in Eastern Europe should be more widely applied.,1
"That brings me to my final point, and I have a question for Commissioner van den Broek.","And now, to conclude, I would like to pose a question to Commissioner van den Broek.",1
I would be glad to hear your answer.,Hearing your answer would please me.,1
We simply do not have the know-how or the people to prepare an inventory of this kind.,We lack the expertise and personnel required to compile such an inventory.,1
"That is why we said we would support the IAEA in all the relevant work it did here, and that is exactly what we are doing.","Hence, we expressed our commitment to aid the IAEA in its endeavors here, which is precisely our course of action.",1
We shall adjourn the debate at this point for Question Time. It will be resumed this evening at 9 p.m.,Debate proceedings will halt now due to Question Time and will recommence tonight at 9.,1
Mrs Bloch von Blottnitz has a point of order.,Mrs. Bloch von Blottnitz wishes to raise a procedural issue.,1
The Council will at the same time try to find appropriate ways to deal with this situation on the basis of Commission proposals.,"At the same time, the Council will endeavor to identify suitable methods to address this issue, relying on proposals from the Commission.",1
I should like to thank the President-in-Office for that answer.,I'm grateful to the President-in-Office for the response provided.,1
"Duty-free is a tax break, and a costly tax break, largely for the benefit of the tobacco and alcohol industries.","The duty-free system offers substantial tax concessions, especially favoring the tobacco and alcohol sectors.",1
That will also be included in the full examination to be undertaken by the Council this month.,That matter will be part of the Council's complete assessment scheduled for this month.,1
"Mr Watts, the issue you mentioned has now been discussed twice by the Heads of State and Government.","The matter you brought up, Mr. Watts, has been addressed by the government leaders on two occasions.",1
Considerable time was devoted to the issue both in Vienna and at the Petersberg meeting in Bonn.,The issue was given a lot of attention in Vienna and also during the Bonn meeting at Petersberg.,1
It is therefore certainly a central issue in European politics.,"Thus, it undeniably plays a pivotal role in the politics of Europe.",1
We are currently investigating whether a legal basis exists for this.,We're in the process of determining if there's a legal foundation for this.,1
This has to do with holiday periods in Europe and is related to the timing of the decision.,This concerns the holiday seasons in Europe and the scheduling of the decision.,1
There is a broad spectrum here.,A wide range of options is available here.,1
"Mr President, I would like to thank the President-in-Office for his reply to the questions so far.","I appreciate the President-in-Office's responses to the questions up to this point, Mr. President.",1
May I also remind him that the job losses referred to are widely exaggerated.,I must also point out that the job losses he mentioned are greatly overstated.,1
I wonder whether account will be taken of the consequences that will arise if duty-free is allowed to continue.,I wonder if the effects of keeping duty-free will be taken into account.,1
"Mr von Habsburg, I cannot disagree with what you said.","Mr. von Habsburg, I find myself in agreement with your statements.",1
It is one of the aspects of a controversy that we could now almost describe as ideologically charged.,This is an element of a debate that has become nearly ideological in nature.,1
You noted this yourself very clearly in your question.,You've clearly recognized this in your own questioning.,1
"There are profoundly different views here, including on the structural impact.","The views presented here are significantly varied, particularly concerning the structural effects.",1
I do not deny that by any means.,I certainly don't deny that.,1
There is no doubt that this is necessary.,This is unquestionably essential.,1
What does he propose?,What's his suggestion?,1
I cannot believe he means this regime to be in place in the manner intended.,It's hard to imagine he expects the regime to operate as it's supposed to.,1
"Mr President, Mrs McIntosh, I freely admit that any future rules will probably be complicated.","Mr. President, Mrs. McIntosh, I readily acknowledge the complexity likely to characterize any rules we establish in the future.",1
"However, I do not envisage the complication you have just described, particularly not in air travel.","I don't foresee the complication you mentioned, especially not in the context of flying.",1
If B is outside the European Community this opportunity does exist; it is relatively simple.,"Should B be external to the European Community, the opportunity is present and rather straightforward.",1
"However, I do not see a problem for air travel.","I don't envision any issues with flying, though.",1
